# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\DIPS
# DB Description,DIPS Privacy Bounce Tracker
# Table,bounces
# Table Description,bounces
# Total Rows in DB,260
# Export Timestamp,2026-04-02 09:55:54 UTC
# MD5 Hash of Source DB,258bad98485ff3b2d976702089619d40

site,first_site_storage_time,last_site_storage_time,first_user_activation_time,last_user_activation_time,first_stateful_bounce_time,last_stateful_bounce_time,first_bounce_time,last_bounce_time,first_web_authn_assertion_time,last_web_authn_assertion_time,first_site_storage_time__HUMAN,first_site_storage_time__FORMAT,last_site_storage_time__HUMAN,last_site_storage_time__FORMAT,first_user_activation_time__HUMAN,first_user_activation_time__FORMAT,last_user_activation_time__HUMAN,last_user_activation_time__FORMAT,first_stateful_bounce_time__HUMAN,first_stateful_bounce_time__FORMAT,last_stateful_bounce_time__HUMAN,last_stateful_bounce_time__FORMAT,first_bounce_time__HUMAN,first_bounce_time__FORMAT,last_bounce_time__HUMAN,last_bounce_time__FORMAT,first_web_authn_assertion_time__HUMAN,first_web_authn_assertion_time__FORMAT,last_web_authn_assertion_time__HUMAN,last_web_authn_assertion_time__FORMAT
settings,13399470214102694,13399470214102694,,,,,,,,,2025-08-12 11:03:34 UTC,WebKit (Chrome),2025-08-12 11:03:34 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
bbc.com,13399489675511474,13399489702045317,,,,,,,,,2025-08-12 16:27:55 UTC,WebKit (Chrome),2025-08-12 16:28:22 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
rubiconproject.com,13399509684145509,13399509684145509,,,,,,,,,2025-08-12 22:01:24 UTC,WebKit (Chrome),2025-08-12 22:01:24 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
apple.com,13399621299103833,13399623270807434,,,,,,,,,2025-08-14 05:01:39 UTC,WebKit (Chrome),2025-08-14 05:34:30 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
4sics.se,13399628357384700,13399628357384700,,,,,,,,,2025-08-14 06:59:17 UTC,WebKit (Chrome),2025-08-14 06:59:17 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
xm.com,13399676549091397,13399676549091397,,,,,,,,,2025-08-14 20:22:29 UTC,WebKit (Chrome),2025-08-14 20:22:29 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
google.co.id,13399721699753530,13399721699953655,,,,,,,,,2025-08-15 08:54:59 UTC,WebKit (Chrome),2025-08-15 08:54:59 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
yuguaab.com,13399721968963454,13399721968963454,,,,,,,,,2025-08-15 08:59:28 UTC,WebKit (Chrome),2025-08-15 08:59:28 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
hgplaycdn.com,13399722012453835,13399722012453835,,,,,,,,,2025-08-15 09:00:12 UTC,WebKit (Chrome),2025-08-15 09:00:12 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
preview-user-i-am-trying-to-deploy-a-nextj-kzmljr2nj2bv23lnngbb.vusercontent.net,13399916701413743,13399916701413743,,,,,,,,,2025-08-17 15:05:01 UTC,WebKit (Chrome),2025-08-17 15:05:01 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
hgenngnjgfkdggambccohomebieocekm,13400391002115673,13400391100802174,,,,,,,,,2025-08-23 02:50:02 UTC,WebKit (Chrome),2025-08-23 02:51:40 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
melanto.com,13400390985343583,13400391134630614,,,,,,,,,2025-08-23 02:49:45 UTC,WebKit (Chrome),2025-08-23 02:52:14 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
connectwise.com,13400450100544784,13400450103455824,,,,,,,,,2025-08-23 19:15:00 UTC,WebKit (Chrome),2025-08-23 19:15:03 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
pubmatic.com,13400611903556882,13400611903556882,,,,,,,,,2025-08-25 16:11:43 UTC,WebKit (Chrome),2025-08-25 16:11:43 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
screener.in,13399631431132125,13400632753201785,,,,,,,,,2025-08-14 07:50:31 UTC,WebKit (Chrome),2025-08-25 21:59:13 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
stationx.net,13400679292796621,13400679305231598,,,,,,,,,2025-08-26 10:54:52 UTC,WebKit (Chrome),2025-08-26 10:55:05 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
wkhtmltopdf.org,13400955812170802,13400955812170802,,,,,,,,,2025-08-29 15:43:32 UTC,WebKit (Chrome),2025-08-29 15:43:32 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
psoajoabuca.net,13400965843846182,13400965843846182,,,,,,,,,2025-08-29 18:30:43 UTC,WebKit (Chrome),2025-08-29 18:30:43 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
mexc.com,13400965867764642,13400965867836056,,,,,,,,,2025-08-29 18:31:07 UTC,WebKit (Chrome),2025-08-29 18:31:07 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
biglive.com,13400965940763956,13400969491465680,,,,,,,,,2025-08-29 18:32:20 UTC,WebKit (Chrome),2025-08-29 19:31:31 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
opera.com,13400969528364063,13400969528738736,,,,,,,,,2025-08-29 19:32:08 UTC,WebKit (Chrome),2025-08-29 19:32:08 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
dy47.com,13400972314348884,13400972314348884,,,,,,,,,2025-08-29 20:18:34 UTC,WebKit (Chrome),2025-08-29 20:18:34 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
bitstorage.finance,13400972342786790,13400972530646398,,,,,,,,,2025-08-29 20:19:02 UTC,WebKit (Chrome),2025-08-29 20:22:10 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
searchmyweather.com,13400969552343749,13400975152148981,,,,,,,,,2025-08-29 19:32:32 UTC,WebKit (Chrome),2025-08-29 21:05:52 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
easysocialsearcher.com,13400975165087666,13400975165087666,,,,,,,,,2025-08-29 21:06:05 UTC,WebKit (Chrome),2025-08-29 21:06:05 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
p2wdb.com,13400975547611074,13400975547984749,,,,,,,,,2025-08-29 21:12:27 UTC,WebKit (Chrome),2025-08-29 21:12:27 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
aag-it.com,13400999970378024,13400999970886657,,,,,,,,,2025-08-30 03:59:30 UTC,WebKit (Chrome),2025-08-30 03:59:30 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
wga.ltd,13401223568367841,13401223573295093,,,,,,,,,2025-09-01 18:06:08 UTC,WebKit (Chrome),2025-09-01 18:06:13 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
safenetid.com,13401224100491229,13401224137318467,,,,,,,,,2025-09-01 18:15:00 UTC,WebKit (Chrome),2025-09-01 18:15:37 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
kgnfciolbjojfdbbelbdbhhocjmhenep,13400391181665858,13401225966477326,,,,,,,,,2025-08-23 02:53:01 UTC,WebKit (Chrome),2025-09-01 18:46:06 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
stripe.com,13401225968418805,13401225968418805,,,,,,,,,2025-09-01 18:46:08 UTC,WebKit (Chrome),2025-09-01 18:46:08 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
gacguinee.com,13401226741511255,13401228550983043,,,,,,,,,2025-09-01 18:59:01 UTC,WebKit (Chrome),2025-09-01 19:29:10 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
microsoftonline.com,13401380749654457,13401380750040815,13401380767471632,13401380767471632,,,,,,,2025-09-03 13:45:49 UTC,WebKit (Chrome),2025-09-03 13:45:50 UTC,WebKit (Chrome),2025-09-03 13:46:07 UTC,WebKit (Chrome),2025-09-03 13:46:07 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
simontaplin.net,13401428406237618,13401428406237618,13401428409240383,13401428409240383,,,,,,,2025-09-04 03:00:06 UTC,WebKit (Chrome),2025-09-04 03:00:06 UTC,WebKit (Chrome),2025-09-04 03:00:09 UTC,WebKit (Chrome),2025-09-04 03:00:09 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
group-ib.com,13401429417740929,13401429429890864,13401429430600810,13401429430600810,,,,,,,2025-09-04 03:16:57 UTC,WebKit (Chrome),2025-09-04 03:17:09 UTC,WebKit (Chrome),2025-09-04 03:17:10 UTC,WebKit (Chrome),2025-09-04 03:17:10 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
tryhackme.cloud,,,13401431741951064,13401432060616236,,,,,,,,null,,null,2025-09-04 03:55:41 UTC,WebKit (Chrome),2025-09-04 04:01:00 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
