# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History
# DB Description,Browsing History & Downloads
# Table,context_annotations
# Table Description,context_annotations
# Total Rows in DB,8637
# Export Timestamp,2026-04-02 09:55:58 UTC
# MD5 Hash of Source DB,51e141f58bb3628ad263c1aeb53c797a

visit_id,context_annotation_flags,duration_since_last_visit,page_end_reason,total_foreground_duration,browser_type,window_id,tab_id,task_id,root_task_id,parent_task_id,response_code,visit_id__HUMAN,visit_id__FORMAT,duration_since_last_visit__HUMAN,duration_since_last_visit__FORMAT,page_end_reason__HUMAN,page_end_reason__FORMAT
1,0,-1000000,4,9892250,1,1399631277,1399631278,13399471140179762,13399471140179762,-1,200,,unknown,,null,,unknown
2,0,3455985,0,-1000000,1,1399631277,1399631278,13399471140179762,13399471140179762,-1,0,,unknown,,unknown,,null
3,0,-1000000,4,15225361,1,1399631277,1399631278,13399471148877851,13399471140179762,13399471140179762,200,,unknown,,null,,unknown
4,0,-1000000,4,26273384,1,1399631277,1399631281,13399471159485367,13399471159485367,-1,200,,unknown,,null,,unknown
6,0,-1000000,0,-1000000,1,1399631277,1399631278,13399471165467816,13399471140179762,13399471148877851,403,,unknown,,null,,null
7,0,-1000000,0,-1000000,1,1399631277,1399631278,13399471165467816,13399471140179762,13399471165467816,0,,unknown,,null,,null
8,0,4496865,0,-1000000,1,1399631277,1399631278,13399471165467816,13399471140179762,13399471165467816,0,,unknown,,unknown,,null
9,0,-1000000,0,-1000000,1,1399631277,1399631278,13399471165467816,13399471140179762,13399471165467816,0,,unknown,,null,,null
10,0,12068095,4,102197142,1,1399631277,1399631278,13399471182032776,13399471140179762,13399471165467816,200,,unknown,,unknown,,unknown
11,0,-1000000,0,-1000000,1,1399631277,1399631278,13399471182032776,13399471140179762,13399471182032776,0,,unknown,,null,,null
12,0,-1000000,0,-1000000,1,1399631277,1399631278,13399471182032776,13399471140179762,13399471182032776,0,,unknown,,null,,null
13,0,-1000000,6,11789899,1,1399631277,1399631282,13399471232398269,-1,13399471232398269,200,,unknown,,null,,unknown
14,0,-1000000,0,-1000000,1,1399631277,1399631283,13399471267697446,-1,13399471267697446,403,,unknown,,null,,null
15,0,-1000000,0,-1000000,1,1399631277,1399631283,13399471267697446,-1,13399471267697446,0,,unknown,,null,,null
16,0,247047,0,-1000000,1,1399631277,1399631283,13399471267697446,-1,13399471267697446,0,,unknown,,unknown,,null
17,0,-1000000,0,-1000000,1,1399631277,1399631283,13399471267697446,-1,13399471267697446,0,,unknown,,null,,null
18,0,-1000000,4,7861437,1,1399631277,1399631283,13399471280636551,-1,13399471267697446,200,,unknown,,null,,unknown
20,0,-1000000,2,6305299,1,1399631277,1399631283,13399471287731560,-1,13399471280636551,200,,unknown,,null,,unknown
