# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History
# DB Description,Browsing History & Downloads
# Table,downloads_url_chains
# Table Description,Download redirect chain URLs
# Total Rows in DB,146
# Export Timestamp,2026-04-02 09:56:00 UTC
# MD5 Hash of Source DB,51e141f58bb3628ad263c1aeb53c797a

id,chain_index,url,url__DOMAIN,url__CATEGORY
2,0,https://www.instagram.com/p/DLpDsgut5h4/?img_index=3,www.instagram.com,HTTPS
4,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhpxQcvn0qO_w6kPukPIxq-40h2G_RbrFMyKLnTk4k6kgYTxnI1orwAkKHMY_s3pGQKUPtm4s4BEj5UIjDjk_le5HOCFHuW1QryLBpqDi7i0VW1zX0adyYswBlCkaZLOG5Zzn8EZUW3Z_8KkWCOBXxVwSsWMo6GVfKJuqYlKpaietwLv04MGTP05R5gpA/s16000/image7.jpg,blogger.googleusercontent.com,HTTPS
5,0,https://securitybrief.com.au/uploads/ckeditor/attachments/3190/image001__7_.webp,securitybrief.com.au,HTTPS
1,0,https://sourceforge.net/projects/remnux/files/ova-virtualbox/remnux-v7-focal-virtualbox.ova/download,sourceforge.net,HTTPS
1,1,https://downloads.sourceforge.net/project/remnux/ova-virtualbox/remnux-v7-focal-virtualbox.ova?ts=gAAAAABomza9X6cf03vJBt9nJaqNprfolpT0Lnt2XTici6TOOcZJXD_m3jhgJc5XAZJi53LqDxtIGP4600K3FC-8X1NhYEB8KA%3D%3D&use_mirror=excellmedia&r=https%3A%2F%2Fdocs.remnux.org%2Finstall-distro%2Fget-virtual-appliance,downloads.sourceforge.net,HTTPS
1,2,https://excellmedia.dl.sourceforge.net/project/remnux/ova-virtualbox/remnux-v7-focal-virtualbox.ova?viasf=1,excellmedia.dl.sourceforge.net,HTTPS
6,0,https://github.com/EmreEkin/ICS-Pcaps/raw/master/DNP3/dnpanalogIN.pcap,github.com,HTTPS
6,1,https://raw.githubusercontent.com/EmreEkin/ICS-Pcaps/master/DNP3/dnpanalogIN.pcap,raw.githubusercontent.com,HTTPS
7,0,https://github.com/EmreEkin/ICS-Pcaps/raw/master/DNP3/dnpanalogIN.pcap,github.com,HTTPS
7,1,https://raw.githubusercontent.com/EmreEkin/ICS-Pcaps/master/DNP3/dnpanalogIN.pcap,raw.githubusercontent.com,HTTPS
8,0,https://tryhackme-vm-upload.s3.eu-west-1.amazonaws.com/evidence-1697996360986.zip?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA2YR2KKQMWLXEMXW4%2F20250814%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20250814T125437Z&X-Amz-Expires=120&X-Amz-Signature=6f43eb307431b86e4a8f75fd939e96f90c304c17807704a23370ff7f1286490e&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject,tryhackme-vm-upload.s3.eu-west-1.amazonaws.com,HTTPS
9,0,https://downloads.sourceforge.net/project/remnux/ova-general/remnux-v7-focal.ova?ts=gAAAAABond7iF1tN9eJH9uKqFXOAzqWtxjM9as7arH_STJTxSZi_QUjrkgq185NUWimNF8IHcvZTkCIkmD_ROJhQl0Hub-_nUQ%3D%3D&use_mirror=excellmedia&r=https%3A%2F%2Fdocs.remnux.org%2Finstall-distro%2Fget-virtual-appliance,downloads.sourceforge.net,HTTPS
9,1,https://excellmedia.dl.sourceforge.net/project/remnux/ova-general/remnux-v7-focal.ova?viasf=1,excellmedia.dl.sourceforge.net,HTTPS
10,0,https://download.virtualbox.org/virtualbox/7.2.0/VirtualBox-7.2.0-170228-Win.exe,download.virtualbox.org,HTTPS
13,0,https://cdn.as212934.net/windows/Win10_22H2_English_x64v1.iso,cdn.as212934.net,HTTPS
15,0,https://drive.usercontent.google.com/u/0/uc?id=1r6EPJgVfs5AXKVUBDaj-Wa7WcNgR_z6f&export=download,drive.usercontent.google.com,HTTPS
15,1,https://drive.usercontent.google.com/download?id=1r6EPJgVfs5AXKVUBDaj-Wa7WcNgR_z6f&export=download&authuser=0,drive.usercontent.google.com,HTTPS
16,0,https://go.microsoft.com/fwlink/p/?LinkID=2208844&clcid=0x409&culture=en-us&country=US,go.microsoft.com,HTTPS
