# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History
# DB Description,Browsing History & Downloads
# Table,segment_usage
# Table Description,segment_usage
# Total Rows in DB,252
# Export Timestamp,2026-04-02 09:56:00 UTC
# MD5 Hash of Source DB,51e141f58bb3628ad263c1aeb53c797a

id,segment_id,time_slot,visit_count,time_slot__HUMAN,time_slot__FORMAT,visit_count__HUMAN,visit_count__FORMAT
1,1,13399455600000000,1,2025-08-12 07:00:00 UTC,WebKit (Chrome),,unknown
2,2,13399455600000000,1,2025-08-12 07:00:00 UTC,WebKit (Chrome),,unknown
3,3,13399455600000000,1,2025-08-12 07:00:00 UTC,WebKit (Chrome),,unknown
4,4,13399455600000000,1,2025-08-12 07:00:00 UTC,WebKit (Chrome),,unknown
5,5,13399455600000000,1,2025-08-12 07:00:00 UTC,WebKit (Chrome),,unknown
6,6,13399455600000000,1,2025-08-12 07:00:00 UTC,WebKit (Chrome),,unknown
7,7,13399455600000000,1,2025-08-12 07:00:00 UTC,WebKit (Chrome),,unknown
8,8,13399455600000000,1,2025-08-12 07:00:00 UTC,WebKit (Chrome),,unknown
9,9,13399628400000000,3,2025-08-14 07:00:00 UTC,WebKit (Chrome),,unknown
10,10,13399628400000000,4,2025-08-14 07:00:00 UTC,WebKit (Chrome),,unknown
11,6,13399628400000000,1,2025-08-14 07:00:00 UTC,WebKit (Chrome),,unknown
12,11,13399714800000000,8,2025-08-15 07:00:00 UTC,WebKit (Chrome),,unknown
13,9,13399714800000000,2,2025-08-15 07:00:00 UTC,WebKit (Chrome),,unknown
14,10,13399714800000000,6,2025-08-15 07:00:00 UTC,WebKit (Chrome),,unknown
15,12,13399714800000000,2,2025-08-15 07:00:00 UTC,WebKit (Chrome),,unknown
16,13,13399801200000000,1,2025-08-16 07:00:00 UTC,WebKit (Chrome),,unknown
17,14,13399801200000000,1,2025-08-16 07:00:00 UTC,WebKit (Chrome),,unknown
18,9,13399801200000000,1,2025-08-16 07:00:00 UTC,WebKit (Chrome),,unknown
19,15,13399801200000000,2,2025-08-16 07:00:00 UTC,WebKit (Chrome),,unknown
20,16,13399801200000000,16,2025-08-16 07:00:00 UTC,WebKit (Chrome),,unknown
21,9,13399887600000000,2,2025-08-17 07:00:00 UTC,WebKit (Chrome),,unknown
22,17,13399887600000000,2,2025-08-17 07:00:00 UTC,WebKit (Chrome),,unknown
23,18,13399887600000000,1,2025-08-17 07:00:00 UTC,WebKit (Chrome),,unknown
24,19,13399887600000000,1,2025-08-17 07:00:00 UTC,WebKit (Chrome),,unknown
25,9,13399974000000000,1,2025-08-18 07:00:00 UTC,WebKit (Chrome),,unknown
26,20,13399974000000000,2,2025-08-18 07:00:00 UTC,WebKit (Chrome),,unknown
27,21,13399974000000000,6,2025-08-18 07:00:00 UTC,WebKit (Chrome),,unknown
28,22,13399974000000000,1,2025-08-18 07:00:00 UTC,WebKit (Chrome),,unknown
29,23,13400146800000000,1,2025-08-20 07:00:00 UTC,WebKit (Chrome),,unknown
30,24,13400146800000000,2,2025-08-20 07:00:00 UTC,WebKit (Chrome),,unknown
31,25,13400146800000000,1,2025-08-20 07:00:00 UTC,WebKit (Chrome),,unknown
32,14,13400146800000000,1,2025-08-20 07:00:00 UTC,WebKit (Chrome),,unknown
33,26,13400146800000000,7,2025-08-20 07:00:00 UTC,WebKit (Chrome),,unknown
34,27,13400146800000000,1,2025-08-20 07:00:00 UTC,WebKit (Chrome),,unknown
35,28,13400146800000000,2,2025-08-20 07:00:00 UTC,WebKit (Chrome),,unknown
36,29,13400146800000000,1,2025-08-20 07:00:00 UTC,WebKit (Chrome),,unknown
37,16,13400146800000000,23,2025-08-20 07:00:00 UTC,WebKit (Chrome),,unknown
38,9,13400146800000000,3,2025-08-20 07:00:00 UTC,WebKit (Chrome),,unknown
39,30,13400146800000000,1,2025-08-20 07:00:00 UTC,WebKit (Chrome),,unknown
40,19,13400146800000000,1,2025-08-20 07:00:00 UTC,WebKit (Chrome),,unknown
41,31,13400146800000000,1,2025-08-20 07:00:00 UTC,WebKit (Chrome),,unknown
42,32,13400146800000000,1,2025-08-20 07:00:00 UTC,WebKit (Chrome),,unknown
43,28,13400319600000000,2,2025-08-22 07:00:00 UTC,WebKit (Chrome),,unknown
44,9,13400319600000000,3,2025-08-22 07:00:00 UTC,WebKit (Chrome),,unknown
45,30,13400319600000000,1,2025-08-22 07:00:00 UTC,WebKit (Chrome),,unknown
46,27,13400319600000000,1,2025-08-22 07:00:00 UTC,WebKit (Chrome),,unknown
47,33,13400319600000000,1,2025-08-22 07:00:00 UTC,WebKit (Chrome),,unknown
48,6,13400319600000000,1,2025-08-22 07:00:00 UTC,WebKit (Chrome),,unknown
49,9,13400406000000000,4,2025-08-23 07:00:00 UTC,WebKit (Chrome),,unknown
50,34,13400406000000000,1,2025-08-23 07:00:00 UTC,WebKit (Chrome),,unknown
51,35,13400406000000000,1,2025-08-23 07:00:00 UTC,WebKit (Chrome),,unknown
52,9,13400492400000000,6,2025-08-24 07:00:00 UTC,WebKit (Chrome),,unknown
53,34,13400492400000000,1,2025-08-24 07:00:00 UTC,WebKit (Chrome),,unknown
54,3,13400492400000000,1,2025-08-24 07:00:00 UTC,WebKit (Chrome),,unknown
55,36,13400578800000000,1,2025-08-25 07:00:00 UTC,WebKit (Chrome),,unknown
56,27,13400578800000000,1,2025-08-25 07:00:00 UTC,WebKit (Chrome),,unknown
57,34,13400578800000000,1,2025-08-25 07:00:00 UTC,WebKit (Chrome),,unknown
58,28,13400578800000000,1,2025-08-25 07:00:00 UTC,WebKit (Chrome),,unknown
59,9,13400578800000000,2,2025-08-25 07:00:00 UTC,WebKit (Chrome),,unknown
60,37,13400665200000000,2,2025-08-26 07:00:00 UTC,WebKit (Chrome),,unknown
61,18,13400665200000000,1,2025-08-26 07:00:00 UTC,WebKit (Chrome),,unknown
62,27,13400665200000000,1,2025-08-26 07:00:00 UTC,WebKit (Chrome),,unknown
63,28,13400665200000000,2,2025-08-26 07:00:00 UTC,WebKit (Chrome),,unknown
64,30,13400665200000000,1,2025-08-26 07:00:00 UTC,WebKit (Chrome),,unknown
