# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Web Data
# DB Description,"Autofill, Forms & Credit Cards"
# Table,keywords
# Table Description,Omnibox search engines
# Total Rows in DB,18
# Export Timestamp,2026-04-02 09:56:08 UTC
# MD5 Hash of Source DB,18dd63a1b36a3f929c9a6e4e99a53362

id,short_name,keyword,favicon_url,url,safe_for_autoreplace,originating_url,date_created,usage_count,input_encodings,suggest_url,prepopulate_id,created_by_policy,last_modified,sync_guid,alternate_urls,image_url,search_url_post_params,suggest_url_post_params,image_url_post_params,new_tab_url,last_visited,created_from_play_api,is_active,starter_pack_id,enforced_by_policy,featured_by_policy,url_hash,date_created__HUMAN,date_created__FORMAT,created_by_policy__HUMAN,created_by_policy__FORMAT,last_modified__HUMAN,last_modified__FORMAT,last_visited__HUMAN,last_visited__FORMAT,created_from_play_api__HUMAN,created_from_play_api__FORMAT,starter_pack_id__HUMAN,starter_pack_id__FORMAT,favicon_url__DOMAIN,favicon_url__CATEGORY,url__DOMAIN,url__CATEGORY,originating_url__DOMAIN,originating_url__CATEGORY,suggest_url__DOMAIN,suggest_url__CATEGORY,alternate_urls__DOMAIN,alternate_urls__CATEGORY,image_url__DOMAIN,image_url__CATEGORY,search_url_post_params__DOMAIN,search_url_post_params__CATEGORY,suggest_url_post_params__DOMAIN,suggest_url_post_params__CATEGORY,image_url_post_params__DOMAIN,image_url_post_params__CATEGORY,new_tab_url__DOMAIN,new_tab_url__CATEGORY,url_hash__DOMAIN,url_hash__CATEGORY
2,Google,google.com,https://www.gstatic.com/images/branding/searchlogo/ico/favicon.ico,{google:baseURL}search?q={searchTerms}&{google:RLZ}{google:originalQueryForSuggestion}{google:assistedQueryStats}{google:searchFieldtrialParameter}{google:language}{google:prefetchSource}{google:searchClient}{google:sourceId}{google:contextualSearchVersion}ie={inputEncoding},1,,0,0,UTF-8,{google:baseSuggestURL}search?{google:searchFieldtrialParameter}client={google:suggestClient}&gs_ri={google:suggestRid}&xssi=t&q={searchTerms}&{google:inputType}{google:omniboxFocusType}{google:cursorPosition}{google:currentPageUrl}{google:pageClassification}{google:clientCacheTimeToLive}{google:searchVersion}{google:sessionToken}{google:prefetchQuery}sugkey={google:suggestAPIKeyParameter},1,0,0,485bf7d3-0215-45af-87dc-538868000001,"[""{google:baseURL}#q={searchTerms}"",""{google:baseURL}search#q={searchTerms}"",""{google:baseURL}webhp#q={searchTerms}"",""{google:baseURL}s#q={searchTerms}"",""{google:baseURL}s?q={searchTerms}""]",{google:baseSearchByImageURL}upload,,,"encoded_image={google:imageThumbnail},image_url={google:imageURL},sbisrc={google:imageSearchSource},original_width={google:imageOriginalWidth},original_height={google:imageOriginalHeight},processed_image_dimensions={google:processedImageDimensions}",,0,0,0,0,0,0,<BLOB: 763230006837bfa48c42f0398b271f1efc975afa7af59bc63cf15811fa8c24306aff095a6aaf76f30913091d3b71eacd791f21102209bdec323ecf6d8dd3ab03>,,null,,null,,null,,null,,null,,null,www.gstatic.com,HTTPS,{google:baseURL}search,Other,,,{google:baseSuggestURL}search,Other,,Other,{google:baseSearchByImageURL}upload,Other,,,,,"encoded_image={google:imageThumbnail},image_url={google:imageURL},sbisrc={google:imageSearchSource},original_width={google:imageOriginalWidth},original_height={google:imageOriginalHeight},processed_image_dimensions={google:processedImageDimensions}",Other,,,"b'v20\x00h7\xbf\xa4\x8cB\xf09\x8b\'\x1f\x1e\xfc\x97Z\xfaz\xf5\x9b\xc6<\xf1X\x11\xfa\x8c$0j\xff\tZj\xafv\xf3\t\x13\t\x1d;q\xea\xcdy\x1f!\x10""\t\xbd\xec2>\xcfm\x8d\xd3\xab\x03'",Other
3,Microsoft Bing,bing.com,https://www.bing.com/sa/simg/bing_p_rr_teal_min.ico,https://www.bing.com/search?q={searchTerms},1,,0,0,UTF-8,https://www.bing.com/osjson.aspx?query={searchTerms}&language={language},3,0,0,485bf7d3-0215-45af-87dc-538868000003,[],https://www.bing.com/images/detail/search?iss=sbiupload&FORM=CHROMI#enterInsights,,,imageBin={google:imageThumbnailBase64},https://www.bing.com/chrome/newtab,0,0,0,0,0,0,<BLOB: 763230f340e7096d38b326fbeca72e6697060698f53682c5883aaeb0d1653a102aca0171c813da58f5f337ece378166269ad7c9b51406c805d4442eb406e3dd7>,,null,,null,,null,,null,,null,,null,www.bing.com,HTTPS,www.bing.com,HTTPS,,,www.bing.com,HTTPS,[],Other,www.bing.com,HTTPS,,,,,imageBin={google:imageThumbnailBase64},Other,www.bing.com,HTTPS,,Other
4,Yahoo! India,in.yahoo.com,https://in.search.yahoo.com/favicon.ico,https://in.search.yahoo.com/search{google:pathWildcard}?ei={inputEncoding}&fr=crmas&p={searchTerms},1,,0,0,UTF-8,https://in.search.yahoo.com/sugg/chrome?output=fxjson&appid=crmas&command={searchTerms},2,0,0,485bf7d3-0215-45af-87dc-538868000002,[],,,,,,0,0,0,0,0,0,<BLOB: 7632301ade4188ce744496e0464ba6a86ca72d21a28597c271a1a964ba4e798938386f97839d09d73c6043445ee6ea3eaac50061205a166cbdee79f479db6dce>,,null,,null,,null,,null,,null,,null,in.search.yahoo.com,HTTPS,in.search.yahoo.com,HTTPS,,,in.search.yahoo.com,HTTPS,[],Other,,,,,,,,,,,b'v20\x1a\xdeA\x88\xcetD\x96\xe0FK\xa6\xa8l\xa7-!\xa2\x85\x97\xc2q\xa1\xa9d\xbaNy\x8988o\x97\x83\x9d\t\xd7<`CD^\xe6\xea>\xaa\xc5\x00a Z\x16l\xbd\xeey\xf4y\xdbm\xce',Other
5,DuckDuckGo,duckduckgo.com,https://duckduckgo.com/favicon.ico,https://duckduckgo.com/?q={searchTerms},1,,0,0,UTF-8,https://duckduckgo.com/ac/?q={searchTerms}&type=list,92,0,0,485bf7d3-0215-45af-87dc-538868000092,[],,,,,https://duckduckgo.com/chrome_newtab,13401978743940452,0,0,0,0,0,<BLOB: 76323020754e18e7e7f9167423faa0a21d9087b0510f2b9cac1bffd4f541e334b44fac9562063ed257c393c31ffc0805b0cb0f29997cfd3006e00d1218d895ab>,,null,,null,,null,2025-09-10 11:52:23 UTC,WebKit (Chrome),,null,,null,duckduckgo.com,HTTPS,duckduckgo.com,HTTPS,,,duckduckgo.com,HTTPS,[],Other,,,,,,,,,duckduckgo.com,HTTPS,b'v20 uN\x18\xe7\xe7\xf9\x16t,Other
6,Yandex,yandex.com,https://yastatic.net/s3/web4static/_/v2/v9YNE_BX0evwMHbDyd0NZv8ReK0.png,https://yandex.com/{yandex:searchPath}?text={searchTerms},1,,0,0,UTF-8,https://suggest.yandex.com/suggest-ff.cgi?part={searchTerms}&{google:cursorPosition},15,0,0,485bf7d3-0215-45af-87dc-538868000015,[],https://yandex.com/images/search?rpt=imageview,,,"upfile={google:imageThumbnail},original_width={google:imageOriginalWidth},original_height={google:imageOriginalHeight},prg=1",,0,0,0,0,0,0,<BLOB: 76323089befb5f1fa00dabb0271bce0de7564f0187b111636706b5be23fb974231844584800c33113555a3944e5a6a922443822487480ac2291214cabaad6c79>,,null,,null,,null,,null,,null,,null,yastatic.net,HTTPS,yandex.com,HTTPS,,,suggest.yandex.com,HTTPS,[],Other,yandex.com,HTTPS,,,,,"upfile={google:imageThumbnail},original_width={google:imageOriginalWidth},original_height={google:imageOriginalHeight},prg=1",Other,,,"b""v20\x89\xbe\xfb_\x1f\xa0\r\xab\xb0'\x1b\xce\r\xe7VO\x01\x87\xb1\x11cg\x06\xb5\xbe",Other
7,Bookmarks,@bookmarks,,chrome://bookmarks/?q={searchTerms},1,,13399467501539083,0,,,0,0,13399467501539083,ec205736-edd7-4022-a9a3-b431fc000001,[],,,,,,0,0,1,1,0,0,<BLOB: 7632309f05d64e5d09342dc70c5629580b418f1d055cde792878521f5629ab2da89c975999dd32ed0a6d134766dd5e5da06eca4d19bae4993945b707ce6672ed>,2025-08-12 10:18:21 UTC,WebKit (Chrome),,null,2025-08-12 10:18:21 UTC,WebKit (Chrome),,null,,null,,unknown,,,bookmarks,Browser Internal,,,,,[],Other,,,,,,,,,,,,Other
8,History,@history,,chrome://history/?q={searchTerms},1,,13399467501539097,0,,,0,0,13399467501539097,ec205736-edd7-4022-a9a3-b431fc000002,[],,,,,,0,0,1,2,0,0,<BLOB: 7632309a3d0e3e8c14cf9f0ea33b5f26991eec9e05fd4e81738910fd033b9084c7a1fdaa68c34b0bbabb31616361ef5abb7d4363618ac16fc7a30c1dbff43b32>,2025-08-12 10:18:21 UTC,WebKit (Chrome),,null,2025-08-12 10:18:21 UTC,WebKit (Chrome),,null,,null,,unknown,,,history,Browser Internal,,,,,[],Other,,,,,,,,,,,b'v20\x9a=\x0e>\x8c\x14\xcf\x9f\x0e\xa3;_&\x99\x1e\xec\x9e\x05\xfdN\x81s\x89\x10\xfd\x03;\x90\x84\xc7\xa1\xfd\xaah\xc3K\x0b\xba\xbb1aca\xefZ\xbb}Cca\x8a\xc1o\xc7\xa3\x0c\x1d\xbf\xf4;2',Other
9,Tabs,@tabs,,chrome://tabs/?q={searchTerms},1,,13399467501539106,0,,,0,0,13399467501539106,ec205736-edd7-4022-a9a3-b431fc000003,[],,,,,,0,0,1,3,0,0,<BLOB: 763230574e254505bc50fb723cf0604ea4ed8bdf09b749b302fba6e07eba92640f4ad8194d28c030bcad3c0648d5a16b815aa338ba43927a0ca2e620ee370528>,2025-08-12 10:18:21 UTC,WebKit (Chrome),,null,2025-08-12 10:18:21 UTC,WebKit (Chrome),,null,,null,,unknown,,,tabs,Browser Internal,,,,,[],Other,,,,,,,,,,,b'v20WN%E\x05\xbcP\xfbr<\xf0`N\xa4\xed\x8b\xdf\t\xb7I\xb3\x02\xfb\xa6\xe0~\xba\x92d\x0fJ\xd8\x19M(\xc00\xbc\xad<\x06H\xd5\xa1k\x81Z\xa38\xbaC\x92z\x0c\xa2\xe6 \xee7\x05(',Other
10,Gemini,@gemini,,https://gemini.google.com/app?q={searchTerms},1,,13399467501539113,0,,,0,0,13399467501539113,ec205736-edd7-4022-a9a3-b431fc000004,[],,,,,,0,0,1,4,0,0,<BLOB: 763230aa4c54a4f7f7b9044dfa41da3e388c40ee14c8fe84adce04f72ca204ef636d5f0651e33fd2af6e493d7f3d1b5aeb4f3544b017dc6c1a64c0c536432e1a>,2025-08-12 10:18:21 UTC,WebKit (Chrome),,null,2025-08-12 10:18:21 UTC,WebKit (Chrome),,null,,null,,unknown,,,gemini.google.com,HTTPS,,,,,[],Other,,,,,,,,,,,"b'v20\xaaLT\xa4\xf7\xf7\xb9\x04M\xfaA\xda>8\x8c@\xee\x14\xc8\xfe\x84\xad\xce\x04\xf7,\xa2\x04\xefcm_\x06Q\xe3",Other
11,Page,@page,,chrome://page/?q={searchTerms},1,,13399467501539123,0,,,0,0,13399467501539123,ec205736-edd7-4022-a9a3-b431fc000005,[],,,,,,0,0,1,5,0,0,<BLOB: 763230cdd6f394b0525f2be7a9dec91beb5752ad7749dfb950723a577abb083ce0c1ec4b0b3599c21cb3073255bbedebcb93d1b82ecc7eed33585151b919f55d>,2025-08-12 10:18:21 UTC,WebKit (Chrome),,null,2025-08-12 10:18:21 UTC,WebKit (Chrome),,null,,null,,unknown,,,page,Browser Internal,,,,,[],Other,,,,,,,,,,,,Other
